video_url,title,author,source_query,manual_relevant,manual_notes
https://www.douyin.com/video/7683109287467502899,把两只蚁后放进生态缸观察100天，你觉得两大蚁群会开战吗？ #蚂蚁 #动物 #动物世界 #动物搞笑视频 #一代人有一代人的动物世界 @DOU+小助手,@蓝莓动物园,短视频代运营,,
https://www.douyin.com/video/7683875908121365812,精致小学生自律的一天：早上7点起来跑一个小时？！ #精致女生 #精致小学生 #自律 #我的观影报告,@正经的老邪,短视频代运营,,
https://www.douyin.com/video/7665236840311541007,特朗普：从商人到美国总统的逆袭之路 #人物故事 #历史 #商业思维 #家族 #美国,@贾老师上课了,短视频代运营,,
https://www.douyin.com/video/7682742784612142355,《在兽世被追着宠》 超长！一次性看个够！宝宝们明天发两个哦！稍微等待一下#兽世 #兽世文 #AI漫剧,@祈雨师,短视频代运营,,
https://www.douyin.com/video/7661585044410010934,“什么叫2018的风吹到了2026年，一起来重温一下2018年的爆火神曲，那一首是你心中的最强王者” #音乐 #2018年的夏天 #抖音精选 #起风了 #纸短情长,@音你闪耀,短视频代运营,,
https://www.douyin.com/video/7676422064714091776,如果写遗憾的歌有段位，哪一首才是你心中的天花板？ #遗憾 #音乐 #好歌推荐 #音乐分享 #华语金曲,@Vibe Echo,短视频代运营,,
https://www.douyin.com/video/7678672612234480948,我去了洛杉矶最差的汽车旅馆！又脏又乱！ 我分别在美国洛杉矶黑人社区和白人社区各生活一天，体验了当地人的吃住娱乐看看是否符合刻板印象！ #美国 #康普顿 #西海岸 #洛杉矶 #抖音创作者大会,@庄子HD,短视频代运营,,
https://www.douyin.com/video/7665890731622396590,《君君遇夏》第1-6集，15分钟纯享版，妙不可言的缘分展开～#ai漫剧 #原创动画 #二次元 #现言,@喵书语.,短视频代运营,,
https://www.douyin.com/video/7673476173707382054,谁才是华夏千古第一罪人？看完榜单气得浑身发抖！ #历史人物 #科普 #慈禧 #历史,@御史来了,短视频代运营,,
https://www.douyin.com/video/7684217809148136719,爸爸的爸爸叫什么？妹夫？？！！ #了不起的精讲团 #悬疑 #烧脑,@影太白,短视频代运营,,
https://www.douyin.com/video/7679118705016973678,欢迎收看09年高中生的一#高中生 #青年创作者成长计划,@不是睡神,短视频代运营,,
https://www.douyin.com/video/7683107992488709382,北森蒂纳尔岛 听好了，千万别去这个地方。不是我吓唬你，它是地球上最后一片人类不敢踏足的土地。你拿着AK47进去，跟拿着一根烧火棍没区别。因为那里的原住民，会用五万年前的弓箭，教你做人。#北森蒂纳尔岛 #森第纳尔人 #探索地球 #科普一下 #涨知识,@科普新视野,短视频代运营,,
https://www.douyin.com/video/7660840445068463406,一口气沉浸式观看印度版《寄生虫》，堪称穷人翻身说明书的《白虎》#悬疑 #白虎,@影太白,短视频代运营,,
https://www.douyin.com/video/7664215755759652146,共创05:1049.7万什么是破产高爆局 @张德帅电竞（双端） #三角洲 #三角洲行动,@ZT解说,短视频代运营,,
https://www.douyin.com/video/7672302963083250950,你说航天基地的爆率比核电站低？ 对象：这局跑刀能吃五百万给帮我摸8号藏宝图，反之亦然？接！#三角洲行动 #三角洲得吃就行挑战 #鼠鼠我呀得吃了 #三角洲鼠鼠集结 #三角洲鼠期大行动,@卢土豆丶（三角洲行动）,短视频代运营,,
https://www.douyin.com/video/7683718300559314176,【上手体验】苹果iPhone18 Pro & Pro Max 外观没变，还涨价1000元？10个网友最关心问题解答，买前必看#Apple上新了 #2026苹果秋季新品 #苹果iPhone18Pro #2026苹果秋季发布会 #苹果新机,@极果研究室,短视频代运营,,
https://www.douyin.com/video/7683777662288022811,三角洲在彩蛋里加了什么？好累 #三角洲行动 #三角洲s11群星新赛季#三角洲啥都有创作大赛 #三角洲十大洲梗 #洲人洲事,@小A本体,短视频代运营,,
https://www.douyin.com/video/7664581739867573523,《狂飙》深度解析05:高启强是如何踏上不归路的。#狂飙 #抖音精选计划 #了不起的精讲团 #影视解说 #高启强,@帧有戏,短视频代运营,,
https://www.douyin.com/video/7682728905966423334,共创47:0882.0万《我的妹妹不可爱》上部-超级加长版。更多完整剧情细节~ 起初只是想写一个小而美的男频小剧场，完全没预料到越写世界观越大...起初只是一个概念，就想着写一步走一步，很多故事发展其实都是根据评论区的建议临时做过调整，后续依然会根据评论区的建议去调整故事发展，这部剧的结局我保证完全按照大家的建议去写不刀，我就有一个小小的要求 就是希望大家多给我一些写剧本的时间，一部好的内容真的不想随随便便凑合一下端上桌，所以恳请兄弟萌不要太给催更的压力 给我时间打磨细节可好~结局保证一定听你们的！ 全片使用小云雀AI制作#小云雀创作者计划 #我的妹妹不可爱 #未来导演扶持计划 #我的妹妹不可爱太上头了 #非主流,@罗臣臣,短视频代运营,,
https://www.douyin.com/video/7683002810631195938,1-5期｜三角洲全服爆率下降10000倍，只有红狼是正常爆率 #三角洲行动 #Ai创作浪潮 #抖音Ai创作 #三角洲行动漫剧,@洛鸢（三角洲行动）,短视频代运营,,
https://www.douyin.com/video/7678570059446422820,销量大涨，曾被嫌弃的方便面，今年凭什么又香了？ #美食 #方便面 #康师傅 #统一 #抖音精选,@红楼食记,短视频代运营,,
https://www.douyin.com/video/7677865890385284406,万吨当量！沙皇炸弹才是核弹天花板 #沙皇炸弹 #核武器 #军事科普 #冷战历史 #硬核科普,@萬象科普指南,短视频代运营,,
https://www.douyin.com/video/7683055899316964643,今晚查寝，别开门。 1-3合集。 门外的人到底是谁？ #漫剧推荐 #ai漫剧 #短剧推荐 #原创动画,@辣妹漫剧,短视频代运营,,
https://www.douyin.com/video/7674974723394014502,一口气看完《建国三部曲》 #致敬 #历史,@大橙讲电影,短视频代运营,,
https://www.douyin.com/video/7654895217547480326,两口气看完/2026日本惊悚恐怖票房黑马《人偶之家》 #新片速递 #抖音精选#了不起的精讲团#惊悚恐怖#经典影视补完计划,@污青,短视频代运营,,
https://www.douyin.com/video/7682056306697725937,欢迎收看团播女主播省吃俭用的一天vlog～#团播vlog#ost东区厂牌,@小糊涂蝶,短视频代运营,,
https://www.douyin.com/video/7665321235643010350,瑞士真的是人间天堂吗？车内交易 针管骰子 真实的瑞士刷新认知 #抖音合集升级计划 #青年创作者成长计划 #我拍了拍夏天 #瑞士 #我的夏日主线任务online 好山好水好无聊 这期拍个不一样的 不想强行水时长 所以短了点 别限流 球球了 正能量！正能量！,@野原新之助天下第一,短视频代运营,,
https://www.douyin.com/video/7674549782823838458,西莫摸鱼更新至第十四集 #漫剧 #ai漫剧 #原创动画 #动态漫,@小屿漫漫,短视频代运营,,
https://www.douyin.com/video/7652665287665306932,小太监只是打了个喷嚏，下一秒就丢掉了小命！ #宅家dou剧场,@德艾电影,短视频代运营,,
https://www.douyin.com/video/7684104169321418018,“每天都有吗，要让农民都吃上啊” #历史 #伟人 #我的观影报告 #致敬,@小雨电影拉片,短视频代运营,,
https://www.douyin.com/video/7683385383157042467,猛攻3x3，1v1单挑都好用的枪，激光枪MDR 【49万好用性价比】-6L86HP805VI41RB7D99M1 【53万二倍菱镜】-6L81CTK05VI41RB7D99M1 【67万大满改】-6L81CP405VI41RB7D99M1 【自用版后座大49万】-6L81F9805VI41RB7D99M1 【自用版后座大62万】-6L81BA405VI41RB7D99M1,@纪憨猪,短视频代运营,,
https://www.douyin.com/video/7677413413173169449,红蛋RM277-见面就秒杀！ #三角洲行动 #绝密航天 #猛攻 #战术级子轩 #红弹,@子轩轩要谦虚,短视频代运营,,
https://www.douyin.com/video/7662710258711694632,高智商犯罪美剧《幸运女神Lucky》 安雅·泰勒-乔伊饰演， 高智商职业骗子，和警方、黑帮之间的猫鼠游戏！#美剧 #高智商犯罪 #影视解说 #抖音精选 #安雅泰勒乔伊 安雅·泰勒-乔伊,@大千说电影,短视频代运营,,
https://www.douyin.com/video/7673793595559644426,期货到底是什么？一口气了解期货的底层逻辑 期货生存指南#期货 #金融 #真财实学计划 #燃起来了大国重器 #掘金计划2026,@黑白夜谈,短视频代运营,,
https://www.douyin.com/video/7682668247695732954,骑行长安至北海 3300km终于抵达贝加尔湖 绝美 美呆了 #长途骑行 #行走山水间 #贝加尔湖 #北海 #苏武牧羊 贝加尔湖，古称北海，霍去病登临瀚海在这里，苏武牧羊在这里，两千年了，湖水依然清澈。,@赵朔西行漫记,短视频代运营,,
https://www.douyin.com/video/7658958573115804963,我的世界：挖掘随机掉落，还可以开出离谱枪械 #我的世界 #minecraft,@阿柴MC,短视频代运营,,
https://www.douyin.com/video/7658371431889177865,我做了一个役鸟可以啄人的梦...... #第五人格 #今天第五人格了吗#先知,@鱼到改之正在直播,短视频代运营,,
https://www.douyin.com/video/7680916206504660275,【抖音独家】一口气看完原创科幻巨物恐惧AIGC《听海者》 34分钟纯享版，不足之处请指正 #ai创作浪潮计划 #创作阶梯计划 #未来导演扶持计划 #sekoai #seko有点儿东西创作者计划,@吉吉AIGC,短视频代运营,,
https://www.douyin.com/video/7652897519130709275,童年噩梦，限制级猛片，重口+邪典！《原振侠与卫斯理》 #原振侠与卫斯理 #童年阴影系列 #搞笑解说电影 #重口电影 #童年噩梦系列,@今天没上山,短视频代运营,,
https://www.douyin.com/video/7683559152811068681,赶紧去解锁 限定口风琴！我的第一个二周年彩蛋大红~ #三角洲行动 #三角洲十大洲梗 #洲人洲事#打洲社福利全面升级 #洲同学报到,@屁屁凉,短视频代运营,,
